Year,Month,Temp,TSI,CO2,CH4,N2O,CFC-11,CFC-12
1983,5,0.109,1366.1024,345.96,1638.59,303.677,191.324,350.113
1983,6,0.118,1366.1208,345.52,1633.71,303.746,192.057,351.848
1983,7,0.137,1366.285,344.15,1633.22,303.795,192.818,353.725
1983,8,0.176,1366.4202,342.25,1631.35,303.839,193.602,355.633
1983,9,0.149,1366.2335,340.17,1648.4,303.901,194.392,357.465
1983,10,0.093,1366.0589,340.3,1663.79,303.97,195.171,359.174
1983,11,0.232,1366.1072,341.53,1658.23,304.032,195.921,360.758
1983,12,0.078,1366.0607,343.07,1654.31,304.082,196.609,362.174
1984,1,0.089,1365.4261,344.05,1658.98,304.13,197.219,363.359
1984,2,0.013,1365.6618,344.77,1656.48,304.194,197.759,364.296
1984,3,0.049,1366.1697,345.46,1655.77,304.285,198.249,365.044
1984,4,-0.019,1365.566,346.77,1657.68,304.389,198.723,365.692
1984,5,0.065,1365.7783,347.55,1649.33,304.489,199.233,366.317
1984,6,-0.016,1366.0956,346.98,1634.13,304.593,199.858,367.029
1984,7,-0.024,1366.1145,345.55,1629.89,304.722,200.671,367.893
1984,8,0.034,1365.9781,343.2,1643.67,304.871,201.71,368.843
1984,9,0.025,1365.8669,341.35,1663.6,305.021,202.972,369.8
1984,10,-0.035,1365.7869,341.68,1674.65,305.158,204.407,370.782
1984,11,-0.123,1365.6802,343.06,1677.1,305.263,205.893,371.77
1984,12,-0.282,1365.7617,344.54,1672.15,305.313,207.308,372.701
1985,1,-0.001,1365.6082,345.25,1663.42,305.301,208.537,373.623
1985,2,-0.155,1365.7085,346.06,1666.21,305.243,209.543,374.681
1985,3,-0.032,1365.657,347.66,1678.34,305.165,210.368,376.004
1985,4,-0.042,1365.512,348.2,1675.24,305.093,211.111,377.635
1985,5,0.001,1365.6366,348.92,1666.83,305.045,211.823,379.539
1985,6,-0.049,1365.6964,348.4,1659.4,305.027,212.512,381.642
1985,7,-0.042,1365.6509,346.66,1654.25,305.049,213.165,383.905
